CDIO	Beskrivning	Introducera	Undervisa	Använda	Examinera	Kommentar
1	MATEMATISKA, NATUR- OCH TEKNIKVETENSKAPLIGA KUNSKAPER					
1.1	Kunskaper i grundläggande matematiska och naturvetenskapliga ämnen		X	X		
1.2	Kunskaper i teknikvetenskapliga ämnen		X	X		
1.3	Fördjupade kunskaper i något/några tillämpade ämnen		X	X		
2	INDIVIDUELLA OCH YRKESMÄSSIGA FÄRDIGHETER OCH FÖRHÅLLNINGSSÄTT					
2.1	Ingenjörsmässigt/vetenskapligt tänkande o problemlösning		X	X		
2.2	Experimenterande o kunskapsbildning					
2.3	Systemtänkande		X	X		
2.4	Individuella färdigheter och förhållningssätt		X	X		
2.5	Professionella färdigheter och förhållningssätt		X	X		
3	FÖRMÅGA ATT ARBETA I GRUPP OCH ATT KOMMUNICERA					
3.1	Förmåga att arbeta i grupp		X	X		
3.2	Förmåga att kommunicera		X	X		
3.3	Förmåga att kommunicera på främmande språk		X	X		
4	PLANERING, UTVECKLING, REALISERING, DRIFT OCH AFFÄRSMÄSSIGT FÖRVERKLIGANDE AV TEKNISKA PRODUKTER, SYSTEM OCH TJÄNSTER MED HÄNSYN TILL AFFÄRSMÄSSIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
4.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling		X	X		
4.2	Företags och affärsmässiga villkor		X	X		
4.3	Att planera system		X	X		
4.4	Att utveckla system		X	X		
4.5	Att realisera system		X	X		
4.6	Att ta i drift och använda		X	X		
5	PLANERING, GENOMFÖRANDE OCH PRESENTATION AV FORSKNINGSPROJEKT MED HÄNSYN TILL VETENSKAPLIGA OCH SAMHÄLLELIGA BEHOV OCH KRAV					
5.1	Samhälleliga villkor, inkl ekonomiskt, socialt och ekologiskt hållbar utveckling					
5.2	Ekonomiska villkor för forskning och utveckling					
5.3	Att planera forsknings- och utvecklingsprojekt		X	X		
5.4	Att genomföra forsknings- och utvecklingsprojekt		X	X		
5.5	Att rapportera och redovisa forsknings- och utvecklingsprojekt					
5.6	Fördjupad insikt i aktuellt forsknings- och utvecklingsarbete		X	X		
